Tussenstand_prediction,id,text
N,318109321361756160,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318271921710055425,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318467804011569152,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318690880397660160,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318821568937590784,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,319053697600614400,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
N,319340910938828800,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,319494090737725440,RT @UniTeamAdam: De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebra ...
N,321261737917706240,RT @Batavierenrace: Een leuk artikel ter promotie van de samenwerking tussen @batavierenrace en @kwf_nl Doneer nu! http://t.co/eP6pxgkqXh
N,321735136813142016,Wedstrijdschema-explosie vandaag: #bata2013 en 2x competitie senioren aan het programma toegevoegd. #zinin
N,321976112899035136,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
N,321989236498767873,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
N,321993628669063169,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
N,322059725174865920,RT @GalinaEW: Op 27 april loop ik de Batavierenrace. Je kunt mij en mijn team (Donders Devils) sponsoren! http://t.co/a4L5n0gde8
N,322060382644604928,RT @GalinaEW: Op 27 april loop ik de Batavierenrace. Je kunt mij en mijn team (Donders Devils) sponsoren! http://t.co/a4L5n0gde8
N,322378933767131136,Vanavond kroegentocht @beugeltjezwolle @DeAbdij @DeGezelligheid en andere met @zhc en @RadioZSP ivm batavierenrace
N,322392006951333890,RT @emileuitapeldoo: Vanavond kroegentocht @beugeltjezwolle @DeAbdij @DeGezelligheid en andere met @zhc en @RadioZSP ivm batavierenrace
N,324088188102643712,Volgende week 41-ste Batavierenrace http://t.co/836pIeciYz
N,324112661472243712,RT @AnniqueTweets: At the Batavierenrace I'll run 7.1 km to raise money for KWF Kankerbestrijding (cancer research). Support me via http ...
N,324545550546513921,RT @studentsportNL: Over 10 dagen start de 41ste editie van de @batavierenrace! Welke studentenstad gaat winnen?! Stem op http://t.co/KZ ...
N,324597899784757248,RT @MauriceEssers: @Batavierenrace De kop is eraf! 3000 euro is binnen. Nu nog meer lopers aanmoedigen om zich in te schrijven http://t. ...
N,325199240542420992,RT @tvefm: Persbericht: BataRadio doet live verslag Batavierenrace http://t.co/R5R2KmUBLq #tvefm #enschede #batavierenrace @Batavierenra ...
N,326679345634623488,RT @tvefm: Sportcentrum op de campus weer vrij van legionella http://t.co/5QbFRbbX0P #tvefm #enschede #batavierenrace #legionella
N,326964050544168960,RT @112Twente: Bij Batavierenrace bij UT onder douche gestaan!? Bel je huisarts! Sportcentrum per direct gesloten vanwege legionellabesmett
N,326980072428929024,27 april zijn de Clean Teams er weer! @Batavierenrace #dtevenementen
N,327150216111325187,Hopza in n week van een het grootste diepte punt naar een nieuw persoonlijk record met #hardlopen.. #batavierenrace here we come!!
N,327340191524200448,RT @tvefm: Wil je geen meter missen van de #Batavierenrace ? Luister dan zaterdag naar @BataRadio bij #Enschede FM! http://t.co/R5R2KmUBLq 
N,327457874676678656,Morgen is het zover:de #Batavierenrace! Alle ontwikkelingen van (mijn/)het Universiteitsteam Amsterdam te volgen via @UniTeamAdam #ziningoud
N,327501709599449089,RT @KrijnSchagen: Morgen is het zover:de #Batavierenrace! Alle ontwikkelingen van (mijn/)het Universiteitsteam Amsterdam te volgen via @Uni
N,327721163990122496,RT @UTNieuws: Over iets meer dan 12 uur klinkt het startschot voor de 41ste #batavierenrace. @UTNieuws doet verslag vanaf meerdere punten l
N,327731694683684865,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327731710273912832,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327732486610239488,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327732968632221696,"RT @katjahunfeld: Tjonge, wat 'n indrukwekkende commandocentrale op vloer 5 #Vrijhof voor de #batavierenrace. Het lijkt wel of er een inhul"
N,327753904001523713,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327766376993394688,"RT @EersteHulpWiki: Vannacht @Batavierenrace lopen? Bereid je goed voor, in de nacht kan het koud zijn. Pas op voor #onderkoeling! http://t"
N,327767027131498498,RT @tvefm: Enenveertigste Batavierenrace van start http://t.co/qBdwUWQPbt #tvefm #enschede #batavierenrace #bataradio
N,327774506003361793,Participating in the #batavierenrace ? Download the #batabusjestracker and win some nice prizes! http://t.co/90Z9H3LDJ4
N,327785172441382912,RT @UTNieuws: http://t.co/lkqg07sgfy De sintelbaan ligt er nu nog wat triest bij. Hopelijk morgen beter weer bij de finish van de @batavier
N,327787618752409600,Drie liter pannenkoekenbeslag gemaakt. Laat die #batavierenrace maar beginnen!
N,327788906953203712,"Volg de US runners op de Android Batavierenrace app (gratis), team nr. 3."
N,327803298746871808,RT @Oranjewoud: Over een kleine 7 uur gaat de Batavierenrace weer van start. Oranjewoud wenst alle teams een goede race! Go-go-go en geniet!
N,327810728956399617,RT @ffbusjehuren: Veel plezier @radiozsp @asvzhtc tijdens de batavierenrace en met het busje van @ffbusjehuren #trots #bata2013 http://t.co
N,327810863773913088,RT @ffbusjehuren: Veel plezier @radiozsp @asvzhtc tijdens de batavierenrace en met het busje van @ffbusjehuren #trots #bata2013 http://t.co
N,327812209797373952,RT @comram: #utwente getting ready for #batavierenrace and the biggest student party in Europe - rainy weather :-( http://t.co/0hL9uwMXiY
N,327815480276557824,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327828412980928513,RT @Oranjewoud: Over een kleine 7 uur gaat de Batavierenrace weer van start. Oranjewoud wenst alle teams een goede race! Go-go-go en geniet!
N,327830212060512257,RT @alumniUT: Lopers Batavierenrace hebben al meer dan 8000 euro opgehaald! WB-alumnus Alfred Stobbelaar voert lopersklassement aan http://
N,327835236257906688,RT @RJMAKOM: Jaaa! De 1e startgroep van @DEMCON gaat bijna richting Nijmegen!! Mijn wekker staat om 02.15 uur..#batavierenrace #zinan!
N,327835974916767744,"RT @Gem_OIJ: Morgen komt #Batavierenrace, grootste studenten estafetteloop vd wereld, door OIJ. Herstart #DRUIndustriepark #Ulft, wisselpun"
N,327866115306958849,RT @wieberenze: Over luttele uren begint de #Batavierenrace in Nijmegen! #bata4life
N,327867529710141440,RT @ffbusjehuren: Veel plezier @radiozsp @asvzhtc tijdens de batavierenrace en met het busje van @ffbusjehuren #trots #bata2013 http://t.co
N,327869830193618946,RT @ajuonline: People are setting up the camps around campus. The @batavierenrace is about to begin in few hours. @ http://t.co/f0ld5W7au5
N,327873205102583808,RT @jasperroes: Meldkamer in Enschede ook operationeel @Batavierenrace http://t.co/p4Ln890QSF
N,327881521656631296,RT @bataradio: Nu is het dan eindelijk zo ver! #bataradio is live! Beluister ons via de #batavierenrace app en vanaf 10 uur bij TV Enschede
N,327885853621878784,"RT @Batavierenrace: Het eerste officile moment heeft plaatsgevonden, de vlag in Enschede is gehesen! http://t.co/PPtPrw3u5C"
N,327888138661924864,RT @UTNieuws: Nieuw artikel: Batavierenrace op punt van beginnen http://t.co/NdvkbjBP5q
N,327888710278459392,RT @AnkeWiegmans: Aha. #batavierenrace. Daarom was het zo druk in de trein naar #Twente!
N,327889261464526848,"Morgen 8,9km hardlopen voor de Batavierenrace, zin in het (grootste studenten-) feest daarna!"
N,327893781842116609,RT @HinkeBarry: #Batavierenrace Met zo'n 8500 deelnemende studenten is het de grootste estafetteloop ter wereld. #utwente
N,327895478773620736,Toch leuk die #bataradio! Soort van bij zijn en morgen dan toch maar mee feesten! #batavierenrace .
N,327896183173423104,RT @tvefm: De 41ste #Batavierenrace - volg hem live via @bataradio bij #Enschede FM - luister live mee: http://t.co/YLLxtrgKwP #tvefm #bata
N,327896734355304448,RT @tvefm: De 41ste #Batavierenrace - volg hem live via @bataradio bij #Enschede FM - luister live mee: http://t.co/YLLxtrgKwP #tvefm #bata
N,327897344081276928,RT @tvefm: De 41ste #Batavierenrace - volg hem live via @bataradio bij #Enschede FM - luister live mee: http://t.co/YLLxtrgKwP #tvefm #bata
N,327907013583572993,"RT @Jvreeman: We zijn begonnen, start van de 41e #Batavierenrace. http://t.co/sd9ih2oRC6"
N,327907955947220992,"RT @UTNieuws: Volg de @Batavierenrace via http://t.co/DSwCDfLbsu, http://t.co/TiMNFsMK1l en @UTNieuws. We zijn erbij van start tot finish! "
N,327907965602525184,Batavierenrace Enschede van start - http://t.co/4r3MlGNYJ2
N,327916850841272323,RT @rtvoost: Batavierenrace Enschede van start - http://t.co/4r3MlGNYJ2
N,328013022268358656,Off we go! #Batavierenrace http://t.co/U4FHXeRZzy
Y,328013836818976768,RT @Sibrenvdb: Tussenstand: #avphoenix 8e/368 in algemeen klassement na 3 etappes! #batavierenrace hulde voor Ruud die 3e werd in etappe
N,328016566555901952,RT @MartineBruinsma: @RunnersworldGr Team RUG/Hanze Runnersworld Groningen is klaar voor de ochtendshift! #Batavierenrace http://t.co/oi9tg
N,328025859669774336,tis knetterdruk op het industrieterrein #Batavierenrace http://t.co/vV2e1GmMQq
N,328029687857152000,"RT @Jvreeman: Verslagje uit Nijmegen, vlak voor start #Batavierenrace. Lopers @utsaxionteam liggen te slapen in t Sportcentrum. http://t.co"
Y,328029692961628163,"RT @UTNieuws: #batavierenrace Nijmegen slaat gaatje, UT-team vijfde na negen etappes http://t.co/HCZExwEMtp"
N,328034275683352576,RT @MartineBruinsma: @RunnersworldGr Team RUG/Hanze Runnersworld Groningen is klaar voor de ochtendshift! #Batavierenrace http://t.co/oi9tg
N,328052674345959424,RT @tvefm: Enenveertigste Batavierenrace van start http://t.co/qBdwUWQPbt #tvefm #enschede #batavierenrace #bataradio
N,328053570022805504,"Druk in de winkel, en die batavierenrace is nog niet eens gaande hier #hoptjop"
N,328055901074358272,Wat een herrie.. Zo kan ik niet slapen #batavierenrace
N,328058140329377792,RT @PetraSmolders: Zie dat de #batavierenrace dit weekend is. Dat brengt hele mooie herinneringen boven aan mijn studententijd. Zo'n gaaf e
N,328066537502158848,"RT @DRU_IP: Batavierenrace op het DRU Industriepark: Vanmorgen heel vroeg was het weer zover, de jaarlijkse Batavierenrace... http://t.co/x"
N,328068138413465600,RT @RemonBalster: @FemkeAkkerman Tebodin ook vertegenwoordigd op de #batavierenrace! Op de arm van het @ASVTaste team. http://t.co/NxtDsx01
N,328073724488204289,RT @dgachterhoek: Batavierenrace derde maal bij DRU: #Ulft - Het DRU-complex in #Ulft was zaterdagmorgen vroeg voor de derde maal... http:/
N,328077001724407808,RT @PGWelman: Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff fee
N,328079407996612608,RT @PGWelman: Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff fee
N,328085405570301952,RT @enschede: Vanmiddag om 14.30 uur komen de lopers van de @Batavierenrace aan op de Oude Markt #stadvannu en om 17.00 uur vertrekken zij 
N,328088611075526657,"RT @tvefm: De #Batavierenrace loopt voorspoedig, volg de hele race bij @BataRadio op #Enschede FM - Luister live: http://t.co/YLLxtrgKwP #t"
N,328094106129661952,RT @UTNieuws: Ook op social media is #Batavierenrace het gesprek van de dag. Met tweets van o.a. @fgj_oosterveld en @AnkeWiegmans. http://t
N,328095287296004096,Mebiose lekker op snelheid met een gemiddelde van 10.82 km/u #Batavierenrace
N,328100640104521728,"RT @rilonl: De @Batavierenrace in Ulft: vroeg, druk &amp; gewoon een goed georganiseerd ""zooitje ongeregeld""!! http://t.co/ZlRpjhGk1h http:"
N,328100869180628992,RT @dgachterhoek: Batavierenrace derde maal bij DRU: #Ulft - Het DRU-complex in #Ulft was zaterdagmorgen vroeg voor de derde maal... http:/
N,328115064131420161,RT @renepolman: Vol aan de gang als lopers en medische begeleiding bij de #batavierenrace 2013.het gaat super!!! http://t.co/5uGNMsaxvS
N,328118388100571136,RT @tvefm: Volg live de ontknoping van de #Batavierenrace - Luister tot 19u @BataRadio op Enschede FM http://t.co/YLLxtrgKwP #tvefm #ensche
N,328120381548400640,RT @UTNieuws: Ook op social media is #Batavierenrace het gesprek van de dag. Met tweets van o.a. @fgj_oosterveld en @AnkeWiegmans. http://t
N,328121376730906624,"RT @MauriceEssers: @UTNieuws @Batavierenrace De #Batavierenrace haalt de finish in Enschede, dat is zeker. Maar haalt http://t.co/RQmnTAfGh"
N,328127650134626305,RT @UTNieuws: De eerste lopers worden over 15 minuten verwacht op de Markt. #batavierenrace http://t.co/SYYnzM9fK8
Y,328133537326854144,Aeolus aan kop in overall klassement. Voorsprong is 10 min. #batavierenrace
N,328146129462112257,RT @MauriceEssers: &gt;&gt; @utnieuws @batavierenrace Wellicht dat teams de borg voor de hesjes nog willen doneren? En de lopers hun rester
N,328147643614244864,RT @PGWelman: Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff fee
N,328154085033381888,"RT @campusinbeeld: Caf Campus kleurt volledig oranje met o.a @benniesolo, de HAN/RU-teamleider Yannick over @Batavierenrace, kijken! http:"
N,328161972484980736,"@PatrickLeijzer ook hier geen twee kwartjes, maar 2 euro. Vooralsnog kom ik echter vooral halve liters Schultenbrau tegen @Batavierenrace."
N,328163872819261440,RT @UTNieuws: Ook op social media is #Batavierenrace het gesprek van de dag. Met tweets van o.a. @fgj_oosterveld en @AnkeWiegmans. http://t
N,328171313464221698,"Op naar enschede, batavierenrace!"
Y,328201079898644480,RT @SSCEindhoven: Team TU/e-Fontys Eindhoven has finished 2nd in the Batavierenrace! Fantastic achievement! http://t.co/byodsIybR0  #Bata @
Y,328211101361766400,RT @nieuws_enschede: Nijmeegse studenten winnen 41e Batavierenrace: De Nijmeegse studententeams hebben samen de 41e Batav... http://t.co/aK
Y,328227707970281472,"Vandaag liepen Mila-atleten Wouter, Branco en Arne de Batavierenrace voor @utsaxionteam. Ze werden 6e na 175 km."
Y,328250638607716355,RT @MVenhovens: Weer onderweg naar huis. Van een zeer geslaagde #Bata13! Wij zijn 211 vd 350 geworden. Op n etappe zelfs 2de snelste! #Tr
N,328251661942407168,RT @MiriamLuizink: De #batavierenrace camping op de #utwente campus. Wordt vast meer gefeest dan geslapen vanavond in #enschede! http://t.c
Y,328260194519875584,RT @MVenhovens: Nice team @RUNijmegen &amp; @HANnl hebben de eerste plek behaald van #BATA13! #Gefeliciteerd
Y,328266225287311360,RT @zekerwelNL: #Nijmegen wint Batavierenrace http://t.co/fNsr6TpmYq #ZEKERWEL #Eindhoven #Wageningen #Twente #studenten #student #sport #h
Y,328272518362308609,RT @OmroepGLD: RU/HAN Team wint Batavierenrace http://t.co/a4QoSIxbeu
N,328297556452982785,RT @skyflynl: Het grootste studentenfeest van Benelux #batavierenrace #batavierenfeest @skyflynl #DJ shows en event techniek  http://t.co/Z
N,328298933564608512,RT @CaspervdPutten: Terug van een fantastische #Bata2013 ! TU-team 2e en zelf 8e met Team-Eindhoven. Geweldige organisatie en inzet van ied
Y,328332654414016512,RT @tvefm: Team Aeolus uit Enschede wint 41ste Batavierenrace http://t.co/8OFYmOr2xg #tvefm #enschede #batavierenrace #bata @Aeolusrun @SNO
N,328355764391534593,"Batavierenrace, wt een topfeest!"
Y,328403003474325505,"RT @losseveter: Batavierenrace: Aeolus wint overall, Nijmegen de universiteitcompetitie http://t.co/VN1o8wMr2E #atletiek"
N,328420055496933378,"RT @rilonl: De @Batavierenrace in Ulft: vroeg, druk &amp; gewoon een goed georganiseerd ""zooitje ongeregeld""!! http://t.co/ZlRpjhGk1h http:"
N,328420296187068416,"RT @rilonl: De @Batavierenrace in Ulft: vroeg, druk &amp; gewoon een goed georganiseerd ""zooitje ongeregeld""!! http://t.co/ZlRpjhGk1h http:"
N,328436003939426304,RT @skyflynl: Het grootste studentenfeest van Benelux #batavierenrace #batavierenfeest @skyflynl #DJ shows en event techniek  http://t.co/Z
N,328451116419387392,Treinen richting Nijmegen zitten bomvol studenten door #batavierenrace #bata
N,328452406323068928,"RT @Josjetermaat: Wat een geweldig evenement is de @Batavierenrace, de estafetteloop, gezellig bbq en daarna het feest!"
N,328454744970514432,Wat een weekend! #bata13 #spierpijn
N,328466996385697792,kapot van een geslaagd weekend #batavierenrace #nijmegen #enschede
N,328468563709001729,RT @UTNieuws: De eerste lopers worden over 15 minuten verwacht op de Markt. #batavierenrace http://t.co/SYYnzM9fK8
N,328500842430869506,"RT @MikeVerkouter: Politie blij, lopers blij, hulde voor organisatie @Batavierenrace en @UTwente. Nu batafeest + 13.000 studenten blij! htt"
Y,328503610164002816,RT @SSCEindhoven: Team TU/e-Fontys Eindhoven has finished 2nd in the Batavierenrace! Fantastic achievement! http://t.co/byodsIybR0  #Bata @
Y,328518910334869505,RT @SSCEindhoven: Team TU/e-Fontys Eindhoven has finished 2nd in the Batavierenrace! Fantastic achievement! http://t.co/byodsIybR0  #Bata @
Y,328523062041518080,"RT @bblopers: Mark, Falco, Arne &amp; Erik pakken winst met Aeolus bij Batavierenrace #zwolle http://t.co/Uf03BDIAIB"
N,328529400268201984,RT @svidLucid: The batavierenrace was a great succes thanks to all participants and the sports committee! we finished 279. http://t.co/0ej7
N,328529981040885761,"RT @MikeVerkouter: Politie blij, lopers blij, hulde voor organisatie @Batavierenrace en @UTwente. Nu batafeest + 13.000 studenten blij! htt"
N,328533352233713665,RT @jelleschoemaker: Ben benieuwd naar de economische impact van #batavierenrace voor Enschede. Misschien volgend jaar wat studenten op zet
N,328572452575793152,Ook SHOT liep weer mee met de Batavierenrace. Ging best aardig. :-)
N,328577725793185792,"RT @utsaxionteam: UT/Saxion Team 6e bij NSK Batavierenrace 2013 in 10:57:19. Alle lopers, reserves chauffeurs bedankt voor de geweldige wed"
N,328577777517330435,"RT @berthellegers: Grootste studentensportevenement #Batavierenrace pure promotie Twente, aldus wethouder Welman. Reportage Ton Fiselier mo"
N,328589611083370496,RT @carlocuijpers: Nog aan het nagenieten van de @Batavierenrace. Was heel erg leuk! Volgend jaar doe ik weer mee! Heel erg bedankt @SV_Syn
N,328612018636603392,RT @carlocuijpers: Nog aan het nagenieten van de @Batavierenrace. Was heel erg leuk! Volgend jaar doe ik weer mee! Heel erg bedankt @SV_Syn
N,328621813422751744,"RT @ConcepTTwente: De Betonnen Bikkels zijn gefinisht op een solide 187e plaats.. Alle lopers, en de organisatie: bedankt! #batavierenrace"
N,328626265223479296,RT @rtvoost: Foto's Batavierenrace 2013 naar UT Enschede - http://t.co/yqB1N6XPes
N,328779492707418112,De #Batavierenrace
N,328808570068013057,"RT @UTwente: Nieuws: Nijmegen wint universiteitscompetitie Batavierenrace, UT/Saxion-team zesde: Het universiteits... http://t.co/OhrnQvnvM"
N,328809077285203968,"RT @UTwente: Nieuws: Nijmegen wint universiteitscompetitie Batavierenrace, UT/Saxion-team zesde: Het universiteits... http://t.co/OhrnQvnvM"
N,328817928608825344,RT @TSV_Plato: De spierpijn is vandaag op z'n best maar het was het waard #batavierenrace #rabobanktilburg http://t.co/cQFKEE4Z65
N,328928642635800577,"RT @UTwente: Nieuws: Nijmegen wint universiteitscompetitie Batavierenrace, UT/Saxion-team zesde: Het universiteits... http://t.co/OhrnQvnvM"
N,329252519744241664,"RT @JECSloote: Top weekend Batavierenrace met de EBF gehad! Wat een fantastisch evenement, aanrader voor alle studenten"
Y,329545726256361472,RT @tvefm: Team Aeolus uit Enschede wint 41ste Batavierenrace http://t.co/8OFYmOr2xg #tvefm #enschede #batavierenrace #bata @Aeolusrun @SNO
N,329572863671672832,RT @tuecursor: Eindhoven eindigt tweede in Batavierenrace http://t.co/vid57SVJBH
N,303139294103617536,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds..
N,303131152384946177,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds.
N,303937526471725056,Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t.co/hijGD3pk #Enschede
N,303959452221046784,Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Batavierenrace Graag RT!
N,304021983417487360,RT @nieuws_enschede: Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t. ...
N,304103798241107968,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
N,304141118537351168,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
N,304159669323194368,"To batavierenrace or not to batavierenrace, that's the question... #Batavierenrace #estafette"
N,304165988600000512,Voor het eerst mijn beentjes strekken. Ik ben benieuwd hoe het mij afgaat #Batavierenrace
N,304172037973364736,Bursaspor Batalla'y satyor mu? http://t.co/JFBFrsIw
N,304172058626121728,Katuwa ang mga bata..hehe..
N,304172076296699904,@AL_NISAA1: Mara ankuo ka nicha nichn ha ilaj b karya ha par nichan ni ja raha plz koi cream ya koi tip bata da yasmeem khan Khi
N,304172088552468480,Anong payo ang iyong maibibigay sa mga bata ngayon?  Huwag maging atat umibig. Iba resulta kapag biglang kabig.... http://t.co/FFnLf9Hb
N,304172126993252352,RT @HiBabeee: SELOS: Hindi ito tanda ng pagiging ISIP BATA. Ito ay tanda ng pagmamahal ng TAMA.
N,304172204776636416,@jessasilapan hahah :)) oo nga kya nga nkakagulat e. ang bata pa. Hahah :))
N,304172220647874560,"Napakagandang bata, sayang di na nya mararanasan lahat ng mssya sa buhay."
N,304172231544688640,"Bu sarnlar harbiden mal abi yaa. Ben bu havada markete gitmeye eniyorum, kz giymi 2 metre topukluyu amura bata bata yryor. Mal ya."
N,304175023164362752,I feel like dancing..#bata#salsa
N,304178380130103296,#Batavierenrace #Nijmegen  #Atletiek  Sport &amp; Spel  Vrije tijd &amp; Recreatie http://t.co/OrChMyxX
N,304180787769643009,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t.co/52FXb2QI #Enschede"
N,304184027190026240,"Tatlo Lang Ang Pwedeng MakaPagSabe Ng Totoo . .. Ang #Lasing , #Bata , #Galet ."
N,304184374147043328,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafetteloop t... http://t.co/aBD8APKS #Oss"
N,304188835015847937,@Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa...
N,304189397476192256,wakak:D udh msk blm?"@zhareza86: @Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa..."
N,304201118190297090,Bangkrut  #shopping #lost #wallet #insight #spyderbilt #billabong #pants #hardware #lunamaya #bata http://t.co/8btdTA1W
N,304863996471803904,Maar zo wel even hardlopen want die cascaderun &amp; batavierenrace komen alleeen maar dichterbij!
N,305350578098298880,Morgenvroeg maar beginnen met trainen voor de #Batavierenrace met m'n knalpaarse H&amp;M bodywarmer! #Hardlopen
N,306035989846052865,Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
N,306048821094395904,RT Hanzehogeschool: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t....
N,306311486165352448,Wil jij je ook een keer van je sportieve kant laten zien? Doe dan mee met de Batavierenrace met Sant! http://t.co/7GuzX5zSfs
N,308945884060733440,Ingeschreven voor de @Batavierenrace namens @svidLucid! =)
N,308968337491243008,"Lekker stukje hard gelopen in het noorderplantsoen, batavierenrace komt stiekem toch wel weer dichterbij."
N,309053450346455040,@Mennooooooo Doe jij heel toevallig mee met de @Batavierenrace?
